real,brigthness0,motion0,sleep0,brigthness1,motion1,sleep1,brigthness2,motion2,sleep2,brigthness3,motion3,sleep3
0,1,1,97,1,1,95,1,1,82,1,6,5
0,1,2,96,1,1,97,1,1,95,1,6,4
0,1,2,96,1,1,97,1,1,95,1,2,62
0,1,2,96,1,1,97,1,1,95,1,1,82
0,1,2,96,1,1,97,1,1,95,1,1,82
0,1,1,95,1,1,97,1,1,95,1,1,94
0,1,1,95,1,2,96,1,1,97,1,1,95
1,1,1,97,1,2,96,1,1,97,1,1,95
1,1,3,93,1,2,96,1,1,97,1,1,95
1,1,3,93,1,2,96,1,1,97,1,1,95
1,1,1,93,1,1,95,1,1,97,1,1,97
1,2,1,73,1,1,95,1,2,96,1,1,97
0,2,2,89,1,3,93,1,2,96,1,1,97
0,2,1,88,1,3,93,1,2,96,1,1,97
0,2,2,92,1,1,93,1,1,95,1,2,96
0,2,2,64,2,1,73,1,1,97,1,2,96
0,3,3,28,2,2,89,1,3,93,1,2,96
0,1,3,57,2,1,88,1,1,93,1,1,95
0,1,3,55,2,2,92,2,1,73,1,1,95
0,1,3,92,2,2,64,2,2,89,1,3,93
1,2,4,71,3,3,28,2,1,88,1,3,93
1,3,1,62,1,3,57,2,2,92,1,1,93
1,1,2,57,1,3,55,2,2,64,2,1,73
1,1,1,78,1,3,92,3,3,28,2,1,88
1,1,1,95,3,1,62,1,3,57,2,2,92
1,1,2,96,1,2,57,1,3,55,2,2,64
0,1,4,89,1,1,78,1,3,92,3,3,28
0,1,4,88,1,1,95,3,1,62,1,3,57
0,1,4,77,1,1,95,3,1,62,1,3,55
0,1,2,89,1,2,96,1,2,57,1,3,92
0,1,2,92,1,4,89,1,1,78,2,4,71
0,1,2,96,1,4,88,1,1,95,3,1,62
0,1,3,94,1,4,77,1,2,96,1,2,57
0,2,3,79,1,2,89,1,4,89,1,1,78

0,1,1,51,2,6,9,2,5,31,2,6,7
1,1,4,62,2,5,11,2,5,37,2,5,48
1,1,1,84,2,6,12,2,6,16,2,6,3
1,1,1,87,1,6,3,2,6,31,2,5,17
1,1,1,95,1,1,51,2,5,11,2,5,37
1,1,1,95,1,1,84,2,6,12,2,6,16
1,1,1,95,1,1,87,1,6,3,2,6,31
1,1,1,95,1,1,95,1,1,51,2,5,11
0,1,2,94,1,1,95,1,1,84,2,6,12
0,1,4,86,1,1,95,1,1,87,1,6,3
1,1,1,89,1,1,95,1,1,95,1,1,51
1,1,1,87,1,2,94,1,1,95,1,1,84
1,1,1,95,1,4,86,1,1,95,1,1,87
1,1,1,95,1,4,86,1,1,95,1,1,87
0,1,5,66,1,1,95,1,4,86,1,1,95
0,1,5,68,1,1,95,1,1,89,1,1,95
0,1,4,83,1,5,66,1,1,95,1,4,86
0,1,4,80,1,5,68,1,1,95,1,1,89
0,1,1,84,1,5,68,1,1,95,1,1,87
0,1,1,87,1,5,68,1,5,66,1,1,95
0,1,4,83,1,4,83,1,5,66,1,1,95
1,1,1,87,1,1,84,1,5,68,1,1,95
0,1,4,83,1,4,83,1,4,83,1,5,66
0,1,5,71,1,4,83,1,4,80,1,5,68
0,1,6,27,1,1,87,1,1,84,1,5,68
1,1,1,83,1,1,87,1,1,87,1,4,83
1,1,1,82,1,4,83,1,4,83,1,4,83
1,1,1,95,1,5,71,1,4,83,1,4,80
1,1,1,95,1,1,83,1,1,87,1,1,87
0,1,4,83,1,1,95,1,5,71,1,4,83
1,1,1,84,1,1,95,1,6,27,1,1,87
0,1,3,86,1,1,95,1,1,83,1,4,83
0,1,3,86,1,1,95,1,1,82,1,4,83
0,1,3,90,1,4,83,1,1,95,1,5,71
0,1,4,83,1,3,86,1,1,95,1,1,83
