real,brigthnessMax,motionMax,sleepMax,brigthnessMin,motionMin,sleepMin,brigthnessMedian,motionMedian,sleepMedian,brigthnessAverage,motionAverage,sleepAverage
1,2,2,97,1,1,78,1,1,94,1,1,94
1,2,4,93,2,1,5,2,1,80,2,1,80
1,2,5,93,1,1,5,1,2,77,1,2,77
1,2,4,93,2,1,5,2,1,80,2,1,80
1,2,5,87,2,1,55,2,2,79,2,2,79
1,2,4,93,1,1,5,1,2,77,1,2,77
1,1,3,95,1,1,5,1,1,84,1,1,84
1,1,4,97,1,1,83,1,1,92,1,1,92
1,1,3,95,1,1,5,1,1,81,1,1,81
1,1,3,95,1,1,90,1,1,92,1,1,92
1,1,4,97,1,1,83,1,1,91,1,1,91
1,2,4,95,1,1,5,1,1,84,1,1,84
1,2,4,97,1,1,82,1,1,92,1,1,92
1,2,4,95,1,1,5,1,1,79,1,1,79
1,2,2,95,1,1,90,1,1,94,1,1,94
1,1,4,97,1,1,82,1,1,91,1,1,91
1,2,5,95,1,1,5,1,1,81,1,1,81
1,1,6,97,1,1,36,1,1,91,1,1,91
1,2,5,95,1,1,5,1,1,80,1,1,80
1,1,6,95,1,1,5,1,1,85,1,1,85
1,1,4,97,1,1,87,1,1,94,1,1,94
0,1,2,95,1,1,76,1,1,93,1,1,93
0,3,2,97,1,1,55,1,1,88,1,1,88
0,1,2,95,1,1,76,1,1,92,1,1,92
0,1,1,97,1,1,95,1,1,95,1,1,95
0,3,2,97,1,1,55,1,1,85,1,1,85
0,1,2,95,1,1,94,1,1,94,1,1,94
0,3,1,97,1,1,45,1,1,89,1,1,89
0,1,2,95,1,1,94,1,1,94,1,1,94
0,1,1,95,1,1,94,1,1,94,1,1,94
0,3,1,97,1,1,45,1,1,87,1,1,87
0,2,2,95,1,1,5,1,1,87,1,1,87
0,2,1,97,1,1,78,1,1,95,1,1,95
0,1,1,95,1,1,5,1,1,83,1,1,83
0,2,2,95,1,1,93,1,1,94,1,1,94
0,2,1,97,1,1,78,1,1,95,1,1,95
